Time,Eye contact,Synchrony shift,Section
00:00:00:000,0,0,1
00:00:00:016,0,0,1
00:00:00:033,0,0,1
00:00:00:050,0,0,1
00:00:00:067,0,0,1
00:00:00:084,0,0,1
00:00:00:101,0,0,1
00:00:00:118,0,0,1
00:00:00:135,0,0,1
00:00:00:152,0,0,1
00:00:00:169,0,0,1
00:00:00:186,0,0,1
00:00:00:203,0,0,1
00:00:00:220,0,0,1
00:00:00:237,0,0,1
00:00:00:254,0,0,1
00:00:00:271,0,0,1
00:00:00:288,0,0,1
00:00:00:305,0,0,1
00:00:00:322,0,0,1
00:00:00:339,0,0,1
00:00:00:355,0,0,1
00:00:00:372,0,0,1
00:00:00:389,0,0,1
00:00:00:406,0,0,1
00:00:00:423,0,0,1
00:00:00:440,0,0,1
00:00:00:457,0,0,1
00:00:00:474,0,0,1
00:00:00:491,0,0,1
00:00:00:508,0,0,1
00:00:00:525,0,0,1
00:00:00:542,0,0,1
00:00:00:559,0,0,1
00:00:00:576,0,0,1
00:00:00:593,0,0,1
00:00:00:610,0,0,1
00:00:00:627,0,0,1
00:00:00:644,0,0,1
00:00:00:661,0,0,1
00:00:00:678,0,0,1
00:00:00:694,0,0,1
00:00:00:711,0,0,1
00:00:00:728,0,0,1
00:00:00:745,0,0,1
00:00:00:762,0,0,1
00:00:00:779,0,0,1
00:00:00:796,0,0,1
00:00:00:813,0,0,1
00:00:00:830,0,0,1
00:00:00:847,0,0,1
00:00:00:864,0,0,1
00:00:00:881,0,0,1
00:00:00:898,0,0,1
00:00:00:915,0,0,1
00:00:00:932,0,0,1
00:00:00:949,0,0,1
00:00:00:966,0,0,1
00:00:00:983,0,0,1
00:00:01:000,0,0,1
00:00:01:017,0,0,1
00:00:01:033,0,0,1
00:00:01:050,0,0,1
00:00:01:067,0,0,1
00:00:01:084,0,0,1
00:00:01:101,0,0,1
00:00:01:118,0,0,1
00:00:01:135,0,0,1
00:00:01:152,0,0,1
00:00:01:169,0,0,1
00:00:01:186,0,0,1
00:00:01:203,0,0,1
00:00:01:220,0,0,1
00:00:01:237,0,0,1
00:00:01:254,0,0,1
00:00:01:271,0,0,1
00:00:01:288,0,0,1
00:00:01:305,0,0,1
00:00:01:322,0,0,1
00:00:01:339,0,0,1
00:00:01:356,0,0,1
00:00:01:372,0,0,1
00:00:01:389,0,0,1
00:00:01:406,0,0,1
00:00:01:423,0,0,1
00:00:01:440,0,0,1
00:00:01:457,0,0,1
00:00:01:474,0,0,1
00:00:01:491,0,0,1
00:00:01:508,0,0,1
00:00:01:525,0,0,1
00:00:01:542,0,0,1
00:00:01:559,0,0,1
00:00:01:576,0,0,1
00:00:01:593,0,0,1
00:00:01:610,0,0,1
00:00:01:627,0,0,1
00:00:01:644,0,0,1
00:00:01:661,0,0,1
00:00:01:678,0,0,1
00:00:01:695,0,0,1
00:00:01:711,0,0,1
00:00:01:728,0,0,1
00:00:01:745,0,0,1
